income_bin,Ethnic,rural,distance,FIND_DIV_1000,dp
"(29.75,30.74]",Black or African American,Urban,4.322253495,30,dp1
"(29.75,30.74]",Hispanic,Rural,17.50099005,30,dp1
"(29.75,30.74]",Hispanic,Urban,3.736432142,30,dp1
"(29.75,30.74]",White,Rural,24.11971502,30,dp1
"(29.75,30.74]",White,Urban,5.97417043,30,dp1
"(30.74,31.73]",Asian,Rural,20.97613489,31,dp1
"(30.74,31.73]",Asian,Urban,2.657741983,31,dp1
"(30.74,31.73]",Black or African American,Rural,25.55268006,31,dp1
"(30.74,31.73]",Black or African American,Urban,4.711379074,31,dp1
"(30.74,31.73]",Hispanic,Rural,20.59177298,31,dp1
"(30.74,31.73]",Hispanic,Urban,3.919298799,31,dp1
"(30.74,31.73]",White,Rural,24.6217373,31,dp1
"(30.74,31.73]",White,Urban,6.202919535,31,dp1
"(31.73,32.72]",Asian,Rural,17.66073588,32,dp1
"(31.73,32.72]",Asian,Urban,2.548195591,32,dp1
"(31.73,32.72]",Black or African American,Rural,27.02919544,32,dp1
"(31.73,32.72]",Black or African American,Urban,4.368440415,32,dp1
"(31.73,32.72]",Hispanic,Rural,20.15484485,32,dp1
"(31.73,32.72]",Hispanic,Urban,4.003702633,32,dp1
"(31.73,32.72]",White,Rural,24.91261422,32,dp1
"(31.73,32.72]",White,Urban,6.147503947,32,dp1
"(32.72,33.71]",Asian,Rural,17.18250255,33,dp1
"(32.72,33.71]",Asian,Urban,2.478290711,33,dp1
"(32.72,33.71]",Black or African American,Rural,27.28370159,33,dp1
"(32.72,33.71]",Black or African American,Urban,4.379695745,33,dp1
"(32.72,33.71]",Hispanic,Rural,17.69076201,33,dp1
"(32.72,33.71]",Hispanic,Urban,3.904750908,33,dp1
"(32.72,33.71]",White,Rural,24.45241603,33,dp1
"(32.72,33.71]",White,Urban,6.241172763,33,dp1
"(33.71,34.7]",Asian,Rural,14.5411265,34,dp1
"(33.71,34.7]",Asian,Urban,2.700616284,34,dp1
"(33.71,34.7]",Black or African American,Rural,26.27767704,34,dp1
"(33.71,34.7]",Black or African American,Urban,4.406427478,34,dp1
"(33.71,34.7]",Hispanic,Rural,15.75877576,34,dp1
"(33.71,34.7]",Hispanic,Urban,4.016303724,34,dp1
"(33.71,34.7]",White,Rural,24.35898297,34,dp1
"(33.71,34.7]",White,Urban,6.382929816,34,dp1
"(34.7,35.69]",Asian,Rural,17.3076509,35,dp1
"(34.7,35.69]",Asian,Urban,2.465673481,35,dp1
"(34.7,35.69]",Black or African American,Rural,26.68586511,35,dp1
"(34.7,35.69]",Black or African American,Urban,4.506861607,35,dp1
"(34.7,35.69]",Hispanic,Rural,21.68798219,35,dp1
"(34.7,35.69]",Hispanic,Urban,3.890963155,35,dp1
"(34.7,35.69]",White,Rural,24.38094432,35,dp1
"(34.7,35.69]",White,Urban,6.154644475,35,dp1
"(35.69,36.68]",Asian,Rural,13.5043778,36,dp1
"(35.69,36.68]",Asian,Urban,2.434023082,36,dp1
"(35.69,36.68]",Black or African American,Rural,24.12353725,36,dp1
"(35.69,36.68]",Black or African American,Urban,4.29176192,36,dp1
"(35.69,36.68]",Hispanic,Rural,17.21842806,36,dp1
"(35.69,36.68]",Hispanic,Urban,3.889330886,36,dp1
"(35.69,36.68]",White,Rural,23.62828537,36,dp1
"(35.69,36.68]",White,Urban,6.001385394,36,dp1
"(36.68,37.67]",Asian,Rural,18.81697089,37,dp1
"(36.68,37.67]",Asian,Urban,2.426308079,37,dp1
"(36.68,37.67]",Black or African American,Rural,26.35184448,37,dp1
"(36.68,37.67]",Black or African American,Urban,4.358804407,37,dp1
"(36.68,37.67]",Hispanic,Rural,19.38005744,37,dp1
"(36.68,37.67]",Hispanic,Urban,3.833549595,37,dp1
"(36.68,37.67]",White,Rural,24.2783481,37,dp1
"(36.68,37.67]",White,Urban,6.118104616,37,dp1
"(37.67,38.66]",Asian,Rural,31.58475571,38,dp1
"(37.67,38.66]",Asian,Urban,2.662798194,38,dp1
"(37.67,38.66]",Black or African American,Rural,26.84890979,38,dp1
"(37.67,38.66]",Black or African American,Urban,4.443320132,38,dp1
"(37.67,38.66]",Hispanic,Rural,21.88567732,38,dp1
"(37.67,38.66]",Hispanic,Urban,3.780973356,38,dp1
"(37.67,38.66]",White,Rural,24.87390126,38,dp1
"(37.67,38.66]",White,Urban,6.160336932,38,dp1
"(38.66,39.65]",Asian,Rural,17.64144229,39,dp1
"(38.66,39.65]",Asian,Urban,2.531229,39,dp1
"(38.66,39.65]",Black or African American,Rural,27.22606474,39,dp1
"(38.66,39.65]",Black or African American,Urban,4.304545855,39,dp1
"(38.66,39.65]",Hispanic,Rural,16.27666479,39,dp1
"(38.66,39.65]",Hispanic,Urban,3.747271349,39,dp1
